mm9	Mouse	Mus musculus	July 2007
monDom1	Opossum	Monodelphis domestica	Oct. 2004
monDom2	Opossum	Monodelphis domestica	Jun 2005
monDom3	Opossum	Monodelphis domestica	Mar. 2005
monDom4	Opossum	Monodelphis domestica	Jan. 2006
monDom5	Opossum	Monodelphis domestica	Oct. 2006
myoLuc1	Microbat	Myotis lucifugus	Mar. 2006
myoLuc2	Microbat	Myotis lucifugus	July 2010
nomLeu1	Gibbon	Hylobates sp.	Jan. 2010
ochPri1	Pika	Ochotona princeps	
ochPri2	Pika	Ochotona princeps	July 2008
ornAna1	Platypus	Ornithorhynchus anatinus	Mar. 2007
oryCun1	Rabbit	Oryctolagus cuniculus	May 2005
oryCun2	Rabbit	Oryctolagus cuniculus	Apr. 2009
oryLat1	Medaka	Oryzias latipes	Apr. 2006
oryLat2	Medaka	Oryzias latipes	Oct. 2005
otoGar1	Bushbaby	Otolemur garnettii	Dec. 2006
oviAri1	Sheep	Ovis aries	Feb. 2010
panTro1	Chimp	Pan troglodytes	Nov. 2003
panTro2	Chimp	Pan troglodytes	Mar. 2006
panTro3	Chimp	Pan troglodytes	Oct. 2010
papHam1	Baboon	Papio hamadryas	Nov. 2008
petMar1	Lamprey	Petromyzon marinus	Mar. 2007
ponAbe1	Orangutan	Pongo pygmaeus abelii	
ponAbe2	Orangutan	Pongo pygmaeus abelii	July 2007
priPac1	P. pacificus		Feb. 2007
proCap1	Rock hyrax	Procavia capensis 	July 2008
pteVam1	Megabat	Pteropus vampyrus	July 2008
rheMac1	Rhesus	Macaca mulatta	
rheMac2	Rhesus	Macaca mulatta	Jan. 2006
rn1	Rat	Rattus norvegicus	
rn2	Rat	Rattus norvegicus	Jan. 2003
rn3	Rat	Rattus norvegicus	June 2003
rn4	Rat	Rattus norvegicus	Nov. 2004
sacCer1	S. cerevisiae		Oct. 2003
sacCer2	S. cerevisiae		June 2008
sacCer3	S. cerevisiae		Apr. 2011
sorAra1	Shrew	Sorex araneus	June 2006
speTri1	Squirrel	Spermophilus tridecemlineatus	Feb. 2008
strPur1	S. purpuratus		Apr. 2005
strPur2	S. purpuratus		Sep. 2006
susScr1	Pig	Sus scrofa	
susScr2	Pig	Sus scrofa	Nov. 2009
taeGut1	Zebra finch	Taeniopygia guttata	July 2008
tarSyr1	Tarsier	Tarsius syrichta	Aug. 2008
tetNig1	Tetraodon	Tetraodon nigroviridis	Feb. 2004
tetNig2	Tetraodon	Tetraodon nigroviridis	Mar. 2007
triCas1	T. castaneum		
triCas2	T. castaneum		Sep. 2005
tupBel1	Tree shrew	Tupaiabelangeri	Dec. 2006
turTru1	Dolphin	Tursiops truncatus	Feb. 2008
vicPac1	Alpaca	Vicugna pacos	July 2008
xenTro1	X. tropicalis	Xenopus tropicalis	Oct. 2004
xenTro2	X. tropicalis	Xenopus tropicalis	Aug. 2005
xenTro3	X. tropicalis	Xenopus tropicalis	Nov. 2009
