# RPairs file created from KEGG LIGAND version 49.0 reaction file
# REACTION_ID	RPAIR_ID	LEFT_CPD_ID	RIGHT_CPD_ID	LINK_TYPE
R00985	RP05749	C00014	C00108	leave
R00985	RP06006	C00001	C00251	leave
R00986	RP00214	C00022	C00251	main
R00986	RP01216	C00064	C00108	main
R00986	RP06393	C00025	C00064	trans
R00986	RP06394	C00025	C00251	trans
R00987	RP01217	C00041	C00328	main
R00987	RP01218	C00108	C00328	main
R00987	RP06009	C00001	C00108	leave
R00988	RP01219	C00058	C05653	main
R00988	RP01220	C00108	C05653	main
R00988	RP05683	C00001	C00058	leave
R00989	RP00051	C00010	C00083	main
R00989	RP01221	C00108	C03147	main
R00989	RP06395	C00083	C03147	trans
R00990	RP01222	C00108	C00292	main
R00990	RP06396	C00011	C00108	leave
R00993	RP00013	C00001	C00007	cofac
R00993	RP01223	C00109	C02876	main
R00993	RP05907	C00011	C00109	leave
R00994	RP00002	C00003	C00004	cofac
R00994	RP01224	C00109	C06032	main
R00994	RP06397	C00011	C06032	leave
R00995	RP01225	C00109	C06030	main
R00995	RP06398	C00011	C06030	leave
R00996	RP01226	C00109	C00188	main
R00996	RP06399	C00014	C00188	leave
R00997	RP01227	C00109	C01234	main
R00997	RP05720	C00001	C00109	leave
R00997	RP06400	C00014	C01234	leave
R00998	RP00007	C00010	C00024	main
R00998	RP01228	C00109	C02488	main
R00998	RP06401	C00024	C02488	trans
R00999	RP00132	C00042	C01118	main
R00999	RP01229	C00109	C01118	main
R00999	RP05720	C00001	C00109	leave
R00999	RP06402	C00014	C01118	leave
R01000	RP00002	C00003	C00004	cofac
R01000	RP01230	C00109	C05984	main
R01001	RP00182	C00097	C02291	main
R01001	RP01231	C00109	C02291	main
R01001	RP05720	C00001	C00109	leave
R01001	RP05934	C00014	C02291	leave
R01003	RP05676	C00001	C00009	leave
R01004	RP00353	C00110	C00621	main
R01004	RP05676	C00001	C00009	leave
R01004	RP06404	C00009	C00621	leave
R01005	RP00012	C00015	C00029	main
R01005	RP00083	C00110	C01246	main
R01005	RP06405	C00029	C01246	trans
R01006	RP00083	C00110	C01246	main
R01006	RP01232	C00031	C01246	main
R01006	RP05679	C00001	C00031	leave
R01006	RP05777	C00001	C00110	leave
R01007	RP00355	C00043	C00105	main
R01007	RP01233	C00110	C04500	main
R01007	RP06406	C00043	C04500	trans
R01008	RP00020	C00015	C00043	main
R01008	RP01234	C00110	C04678	main
R01008	RP06407	C00043	C04678	trans
R01009	RP00031	C00035	C00096	main
R01009	RP00069	C00110	C03862	main
R01009	RP06408	C00096	C03862	trans
R01010	RP00164	C00111	C00184	main
R01010	RP05676	C00001	C00009	leave
R01011	RP00003	C00002	C00008	main
R01011	RP00164	C00111	C00184	main
R01011	RP06409	C00002	C00111	trans
R01012	RP00036	C00022	C00074	main
R01012	RP00164	C00111	C00184	main
R01012	RP06410	C00074	C00111	trans
R01013	RP00019	C00010	C00040	main
R01013	RP01235	C00111	C03372	main
R01013	RP06411	C00040	C03372	trans
R01014	RP01236	C00067	C03394	main
R01014	RP01237	C00111	C03394	main
R01015	RP01238	C00111	C00118	main
R01016	RP01239	C00111	C00546	main
R01018	RP00062	C00063	C00112	main
R01018	RP00352	C00110	C00381	main
R01018	RP06412	C00063	C00110	trans
R01019	RP00041	C00113	C01359	cofac
R01019	RP00128	C00033	C00084	main
R01019	RP05678	C00001	C00033	leave
R01021	RP00003	C00002	C00008	main
R01021	RP01240	C00114	C00588	main
R01021	RP06413	C00002	C00588	trans
R01022	RP00006	C00007	C00027	cofac
R01022	RP00236	C00114	C00576	main
R01023	RP00007	C00010	C00024	main
R01023	RP00363	C00114	C01996	main
R01023	RP06414	C00024	C01996	trans
R01025	RP00236	C00114	C00576	main
R01026	RP00363	C00114	C01996	main
R01026	RP01241	C00033	C01996	main
R01026	RP05678	C00001	C00033	leave
R01027	RP00016	C00053	C00054	main
R01027	RP00365	C00114	C00919	main
R01027	RP06415	C00053	C00919	trans
R01028	RP00365	C00114	C00919	main
R01028	RP05685	C00001	C00059	leave
R01029	RP01242	C00060	C01777	main
R01029	RP01243	C00114	C01777	main
R01029	RP05681	C00001	C00060	leave
R01030	RP01244	C00093	C00670	main
R01030	RP01245	C00114	C00670	main
R01030	RP05755	C00001	C00093	leave
R01031	RP01246	C00022	C02634	main
R01031	RP06417	C00014	C02634	leave
R01031	RP10324	C00001	C00022	leave
R01032	RP01247	C00022	C02635	main
R01032	RP06001	C00115	C02635	leave
R01032	RP06419	C00014	C02635	leave
R01032	RP10324	C00001	C00022	leave
R01033	RP00002	C00003	C00004	cofac
R01033	RP01248	C00090	C02357	main
R01033	RP01249	C00115	C02357	main
R01033	RP06420	C00011	C02357	leave
R01034	RP00002	C00003	C00004	cofac
R01034	RP00157	C00116	C00184	main
R01036	RP00002	C00003	C00004	cofac
R01036	RP00374	C00116	C00577	main
R01039	RP00001	C00005	C00006	cofac
R01039	RP00157	C00116	C00184	main
R01041	RP00001	C00005	C00006	cofac
R01041	RP00374	C00116	C00577	main
R01043	RP01250	C00116	C02979	main
R01043	RP05676	C00001	C00009	leave
R01044	RP00190	C00009	C00013	leave
R01044	RP01251	C00116	C00623	main
R01044	RP01252	C00013	C00623	main
R01045	RP00157	C00116	C00184	main
R01046	RP00019	C00010	C00040	main
R01046	RP00379	C00116	C00422	main
R01046	RP06010	C00040	C00422	trans
R01047	RP01253	C00116	C00969	main
R01048	RP01254	C00116	C05999	main
R01049	RP01255	C00117	C00119	main
R01049	RP06422	C00002	C00119	trans
R01049	RP12346	C00002	C00020	main
R01050	RP00003	C00002	C00008	main
R01050	RP01256	C00117	C01151	main
R01050	RP06423	C00002	C01151	trans
R01051	RP00003	C00002	C00008	main
R01051	RP01257	C00117	C00121	main
R01051	RP06424	C00002	C00117	trans
R01052	RP00384	C00117	C00301	main
R01052	RP00658	C00008	C00009	leave
R01052	RP01258	C00008	C00301	main
R01053	RP00003	C00002	C00008	ligase
R01053	RP00010	C00002	C00009	ligase
R01053	RP01259	C00117	C03090	main
R01053	RP06425	C00014	C03090	leave
R01054	RP00384	C00117	C00301	main
R01054	RP00387	C00020	C00301	main
R01054	RP05688	C00001	C00020	leave
R01055	RP01260	C00106	C01168	main
R01055	RP01261	C00117	C01168	main
R01055	RP05723	C00001	C00117	leave
R01056	RP01262	C00117	C00199	main
R01057	RP01263	C00117	C00620	main
R01058	RP00001	C00005	C00006	cofac
R01058	RP01264	C00118	C00197	main
R01058	RP05914	C00001	C00197	leave
R01059	RP00003	C00002	C00008	main
R01059	RP01265	C00118	C00577	main
R01059	RP06426	C00002	C00118	trans
R01061	RP00002	C00003	C00004	cofac
R01061	RP00183	C00009	C00236	main
R01061	RP00395	C00118	C00236	main
R01063	RP00001	C00005	C00006	cofac
R01063	RP00183	C00009	C00236	main
R01063	RP00395	C00118	C00236	main
R01064	RP01266	C00022	C01286	main
R01064	RP01267	C00118	C01286	main
R01066	RP01268	C00084	C00673	main
R01066	RP01269	C00118	C00673	main
R01067	RP00080	C00118	C00231	main
R01067	RP00649	C00085	C00279	main
R01067	RP06427	C00085	C00231	trans
R01068	RP01270	C00111	C00354	main
R01068	RP01271	C00118	C00354	main
R01069	RP01272	C00111	C03785	main
R01069	RP01273	C00118	C03785	main
R01070	RP01274	C00111	C05378	main
R01070	RP01275	C00118	C05378	main
R01071	RP00665	C00013	C00119	leave
R01071	RP01276	C00002	C02739	main
R01071	RP01277	C00119	C02739	main
R01072	RP00024	C00025	C00064	main
R01072	RP00665	C00013	C00119	leave
R01072	RP01278	C00119	C03090	main
R01072	RP05686	C00001	C00013	leave
R01072	RP06428	C00025	C00119	trans
R01072	RP06429	C00064	C03090	trans
R01073	RP00665	C00013	C00119	leave
R01073	RP01279	C00108	C04302	main
R01073	RP01280	C00119	C04302	main
R01074	RP00009	C00002	C00013	leave
R01074	RP01281	C00002	C05921	main
R01074	RP01282	C00120	C05921	main
R01075	RP00008	C00002	C00020	ligase
R01075	RP00009	C00002	C00013	ligase
R01075	RP00409	C00010	C01894	main
R01075	RP01283	C00120	C01894	main
R01076	RP01284	C00120	C01893	main
R01076	RP06039	C00001	C00120	leave
R01076	RP06430	C00014	C01893	leave
R01077	RP01285	C00047	C05552	main
R01077	RP01286	C00120	C05552	main
R01077	RP06039	C00001	C00120	leave
R01078	RP01287	C00087	C00120	main
R01078	RP01288	C00120	C01909	main
R01079	RP00001	C00005	C00006	cofac
R01080	RP00416	C00106	C00299	main
R01080	RP01290	C00121	C00299	main
R01080	RP05700	C00001	C00121	leave
R01081	RP01291	C00121	C00309	main
R01082	RP01292	C00122	C00149	main
R01082	RP06432	C00001	C00149	leave
R01083	RP01293	C00020	C03794	main
R01083	RP01294	C00122	C03794	main
R01085	RP01295	C00022	C02514	main
R01085	RP01296	C00122	C02514	main
R01085	RP06085	C00001	C00122	leave
R01086	RP01297	C00062	C03406	main
R01086	RP01298	C00122	C03406	main
R01087	RP01299	C00122	C01384	main
R01088	RP00002	C00003	C00004	cofac
R01088	RP00424	C00123	C00233	main
R01088	RP06433	C00001	C00233	leave
R01088	RP06434	C00014	C00123	leave
R01089	RP00007	C00010	C00024	main
R01089	RP01300	C00123	C02710	main
R01089	RP06435	C00024	C02710	trans
R01090	RP00014	C00025	C00026	main
R01090	RP00424	C00123	C00233	main
R01090	RP06436	C00026	C00233	trans
R01090	RP06437	C00025	C00123	trans
R01091	RP01301	C00123	C02486	main
R01092	RP00003	C00002	C00008	main
R01092	RP01302	C00124	C00446	main
R01092	RP06438	C00002	C00446	trans
R01093	RP00002	C00003	C00004	cofac
R01093	RP00429	C00124	C01697	main
R01094	RP00002	C00003	C00004	cofac
R01094	RP00430	C00124	C03383	main
R01095	RP00001	C00005	C00006	cofac
R01095	RP00429	C00124	C01697	main
R01096	RP00001	C00005	C00006	cofac
R01096	RP01303	C00124	C02669	main
R01097	RP00001	C00005	C00006	cofac
R01097	RP00430	C00124	C03383	main
R01098	RP00006	C00007	C00027	cofac
R01098	RP01304	C00124	C00880	main
R01098	RP05784	C00001	C00880	leave
R01099	RP00006	C00007	C00027	cofac
R01099	RP01305	C00124	C03269	main
R01100	RP00437	C00124	C00243	main
R01100	RP00439	C00031	C00243	main
R01100	RP05679	C00001	C00031	leave
R01101	RP01306	C00031	C05402	main
R01101	RP01307	C00124	C05402	main
R01101	RP05679	C00001	C00031	leave
R01103	RP00235	C00089	C00492	main
R01103	RP01308	C00124	C00492	main
R01103	RP06439	C00001	C00089	leave
R01104	RP00448	C00116	C05401	main
R01104	RP01309	C00124	C05401	main
R01105	RP01310	C00124	C05796	main
R01105	RP05702	C00001	C00124	leave
R01106	RP00038	C00125	C00126	cofac
R01106	RP00048	C00088	C00244	main
R01108	RP00025	C00051	C00127	cofac
R01108	RP00250	C00072	C05422	main
R01109	RP00025	C00051	C00127	cofac
R01109	RP01311	C00736	C01420	main
R01110	RP00025	C00051	C00127	cofac
R01110	RP01312	C01817	C05330	main
R01111	RP00025	C00051	C00127	cofac
R01111	RP00181	C00010	C00920	main
R01111	RP06440	C00127	C00920	trans
R01113	RP00025	C00051	C00127	cofac
R01113	RP00125	C00097	C00491	main
R01115	RP00013	C00001	C00007	leave
R01115	RP00456	C00128	C03691	main
R01115	RP05861	C00007	C03691	leave
R01117	RP01194	C00013	C00063	leave
R01117	RP01313	C00128	C00270	main
R01117	RP01314	C00063	C00128	main
R01121	RP00003	C00002	C00008	ligase
R01121	RP00010	C00002	C00009	ligase
R01121	RP01315	C00129	C01143	main
R01121	RP06441	C00011	C01143	leave
R01122	RP01317	C00129	C04432	main
R01122	RP05863	C00013	C00129	leave
R01123	RP01318	C00129	C00235	main
R01126	RP00466	C00130	C00294	main
R01126	RP05676	C00001	C00009	leave
R01127	RP01319	C00130	C04734	main
R01128	RP00470	C00130	C00262	main
R01128	RP01320	C00117	C00130	main
R01128	RP05723	C00001	C00117	leave
R01130	RP00002	C00003	C00004	cofac
R01130	RP01321	C00130	C00655	main
R01131	RP00003	C00002	C00008	main
R01131	RP00466	C00130	C00294	main
R01131	RP06444	C00002	C00130	trans
R01132	RP00470	C00130	C00262	main
R01132	RP00665	C00013	C00119	leave
R01132	RP01322	C00119	C00130	main
R01134	RP00001	C00005	C00006	cofac
R01134	RP01323	C00130	C00144	main
R01134	RP05868	C00014	C00144	leave
R01135	RP00055	C00035	C00044	ligase
R01135	RP00227	C00009	C00044	ligase
R01135	RP01324	C00049	C03794	main
R01135	RP01325	C00130	C03794	main
R01137	RP00003	C00002	C00008	main
R01137	RP00045	C00131	C00206	main
R01137	RP06445	C00002	C00131	trans
R01138	RP00036	C00022	C00074	main
R01138	RP00045	C00131	C00206	main
R01138	RP06446	C00074	C00131	trans
R01139	RP00045	C00131	C00206	main
R01139	RP00060	C00031	C00092	main
R01139	RP06447	C00092	C00131	trans
R01140	RP00045	C00131	C00206	main
R01140	RP00242	C00085	C00095	main
R01140	RP06448	C00085	C00131	trans
R01142	RP00002	C00003	C00004	cofac
R01142	RP00013	C00001	C00007	leave
R01142	RP00478	C00132	C01438	main
R01143	RP00001	C00005	C00006	cofac
R01143	RP00013	C00001	C00007	leave
R01143	RP00478	C00132	C01438	main
R01144	RP01326	C00036	C03716	main
R01144	RP01327	C00132	C03716	main
R01144	RP05758	C00001	C00036	leave
R01145	RP01328	C00132	C02704	main
R01145	RP05685	C00001	C00059	leave
R01146	RP00038	C00125	C00126	cofac
R01146	RP00094	C00067	C00132	main
R01147	RP00131	C00022	C00133	main
R01147	RP00171	C00018	C00647	main
R01147	RP06450	C00018	C00022	trans
R01147	RP06451	C00133	C00647	trans
R01148	RP00084	C00026	C00217	main
R01148	RP00131	C00022	C00133	main
R01148	RP05853	C00022	C00026	trans
R01148	RP06452	C00133	C00217	trans
R01149	RP01329	C00064	C03738	main
R01149	RP01330	C00133	C03738	main
R01149	RP05752	C00014	C00064	leave
R01150	RP00003	C00002	C00008	ligase
R01150	RP00010	C00002	C00009	ligase
R01150	RP01331	C00133	C00993	main
R01151	RP00006	C00007	C00027	cofac
R01151	RP00486	C00134	C00555	main
R01151	RP05794	C00001	C00555	leave
R01151	RP05912	C00014	C00134	leave
R01152	RP00489	C00134	C00436	main
R01152	RP05682	C00001	C00011	leave
R01152	RP06454	C00014	C00436	leave
R01153	RP00004	C00019	C00021	main
R01153	RP01332	C00134	C02723	main
R01153	RP06455	C00019	C02723	trans
R01154	RP00007	C00010	C00024	main
R01154	RP00493	C00134	C02714	main
R01154	RP06456	C00024	C02714	trans
R01155	RP00014	C00025	C00026	main
R01155	RP00486	C00134	C00555	main
R01155	RP06457	C00026	C00555	trans
R01155	RP06458	C00025	C00134	trans
R01156	RP00493	C00134	C02714	main
R01156	RP01333	C00033	C02714	main
R01156	RP05678	C00001	C00033	leave
R01157	RP01334	C00086	C00179	main
R01157	RP01335	C00134	C00179	main
R01157	RP05692	C00001	C00086	leave
R01158	RP00002	C00003	C00004	cofac
R01158	RP01336	C00135	C00860	main
R01158	RP05888	C00001	C00135	leave
R01159	RP00004	C00019	C00021	main
R01159	RP01337	C00135	C01152	main
R01159	RP06459	C00019	C01152	trans
R01160	RP00007	C00010	C00024	main
R01160	RP01338	C00135	C02997	main
R01160	RP06460	C00024	C02997	trans
R01161	RP00014	C00025	C00026	main
R01161	RP01339	C00135	C03277	main
R01161	RP06461	C00026	C03277	trans
R01161	RP06462	C00025	C00135	trans
R01163	RP00002	C00003	C00004	cofac
R01163	RP01340	C00135	C01929	main
R01163	RP05888	C00001	C00135	leave
R01164	RP00008	C00002	C00020	ligase
R01164	RP00009	C00002	C00013	ligase
R01164	RP00505	C00099	C00386	main
R01164	RP00508	C00135	C00386	main
R01166	RP00505	C00099	C00386	main
R01166	RP00508	C00135	C00386	main
R01166	RP05730	C00001	C00099	leave
R01167	RP01341	C00135	C00388	main
R01167	RP06463	C00011	C00135	leave
R01168	RP01342	C00135	C00785	main
R01168	RP06464	C00014	C00135	leave
R01171	RP00002	C00003	C00004	cofac
R01171	RP00203	C00136	C00877	main
R01172	RP00002	C00003	C00004	cofac
R01172	RP00093	C00010	C00136	main
R01172	RP00515	C00136	C01412	main
R01173	RP00001	C00005	C00006	cofac
R01173	RP00093	C00010	C00136	main
R01173	RP00515	C00136	C01412	main
R01174	RP00093	C00010	C00136	main
R01174	RP01343	C00136	C02527	main
R01174	RP06465	C00009	C02527	leave
R01175	RP00018	C00016	C01352	cofac
R01175	RP00203	C00136	C00877	main
R01176	RP00008	C00002	C00020	ligase
R01176	RP00009	C00002	C00013	ligase
R01176	RP00093	C00010	C00136	main
R01176	RP00206	C00136	C00246	main
R01177	RP00093	C00010	C00136	main
R01177	RP01344	C00136	C05269	trans
R01177	RP10735	C00024	C05269	main
R01178	RP00203	C00136	C00877	main
R01179	RP00026	C00024	C00033	main
R01179	RP00206	C00136	C00246	main
R01179	RP06467	C00024	C00136	trans
R01180	RP00093	C00010	C00136	main
R01180	RP01345	C00048	C01989	main
R01180	RP06468	C00136	C01989	trans
R01181	RP01346	C00136	C00630	main
R01182	RP00003	C00002	C00008	main
R01182	RP00521	C00137	C01177	main
R01182	RP06469	C00002	C01177	trans
R01183	RP00002	C00003	C00004	cofac
R01183	RP01347	C00137	C00691	main
R01184	RP00013	C00001	C00007	leave
R01184	RP01348	C00137	C00191	main
R01185	RP00521	C00137	C01177	main
R01185	RP05676	C00001	C00009	leave
R01186	RP01349	C00137	C03546	main
R01186	RP05676	C00001	C00009	leave
R01187	RP01350	C00137	C04006	main
R01187	RP05676	C00001	C00009	leave
R01188	RP00004	C00019	C00021	main
R01188	RP01351	C00137	C03659	main
R01188	RP06474	C00019	C03659	trans
R01189	RP00004	C00019	C00021	main
R01189	RP01352	C00137	C03660	main
R01189	RP06475	C00019	C03660	trans
R01190	RP00004	C00019	C00021	main
R01190	RP01353	C00137	C06352	main
R01190	RP06476	C00019	C06352	trans
R01191	RP00004	C00019	C00021	main
R01191	RP01354	C00137	C06353	main
R01191	RP06477	C00019	C06353	trans
R01192	RP00017	C00015	C00052	main
R01192	RP00138	C00137	C01235	main
R01192	RP06478	C00052	C01235	trans
R01193	RP01355	C00093	C01225	main
R01193	RP01356	C00137	C01225	main
R01193	RP05755	C00001	C00093	leave
R01194	RP00138	C00137	C01235	main
R01194	RP01357	C00124	C01235	main
R01194	RP05702	C00001	C00124	leave
R01195	RP00001	C00005	C00006	cofac
R01196	RP00007	C00010	C00024	main
R01196	RP00285	C00022	C00024	main
R01196	RP05698	C00011	C00022	leave
R01197	RP00035	C00010	C00091	main
R01197	RP00304	C00026	C00091	main
R01197	RP05677	C00011	C00026	leave
R01199	RP00034	C00010	C00100	main
R01199	RP01358	C00100	C00109	main
R01199	RP05907	C00011	C00109	leave
R01200	RP00546	C00140	C00329	main
R01200	RP01359	C00033	C00140	main
R01200	RP05678	C00001	C00033	leave
R01201	RP00003	C00002	C00008	main
R01201	RP00547	C00140	C00357	main
R01201	RP06479	C00002	C00357	trans
R01202	RP00002	C00003	C00004	cofac
R01202	RP00548	C00140	C01133	main
R01203	RP00006	C00007	C00027	cofac
R01203	RP00548	C00140	C01133	main
R01204	RP00007	C00010	C00024	main
R01204	RP00546	C00140	C00329	main
R01204	RP06480	C00024	C00140	trans
R01205	RP00017	C00015	C00052	main
R01205	RP01360	C00140	C00611	main
R01205	RP06481	C00052	C00611	trans
R01206	RP01361	C00140	C00461	main
R01206	RP05765	C00001	C00140	leave
R01207	RP01362	C00140	C00645	main
R01209	RP01363	C00141	C04039	main
R01210	RP00002	C00003	C00004	cofac
R01210	RP00556	C00010	C00630	main
R01210	RP01364	C00141	C00630	main
R01210	RP05923	C00011	C00141	leave
R01211	RP00002	C00003	C00004	cofac
R01211	RP01365	C00141	C01088	main
R01211	RP06483	C00011	C01088	leave
R01212	RP00001	C00005	C00006	cofac
R01212	RP00097	C00141	C00183	main
R01212	RP05926	C00001	C00141	leave
R01212	RP05928	C00014	C00183	leave
R01213	RP00007	C00010	C00024	main
R01213	RP01366	C00141	C02504	main
R01213	RP06484	C00024	C02504	trans
R01214	RP00014	C00025	C00026	main
R01214	RP00097	C00141	C00183	main
R01214	RP06485	C00026	C00141	trans
R01214	RP06486	C00025	C00183	trans
R01215	RP00021	C00022	C00041	main
R01215	RP00097	C00141	C00183	main
R01215	RP06487	C00022	C00141	trans
R01215	RP06488	C00041	C00183	trans
R01216	RP00566	C00141	C00966	main
R01216	RP01367	C00067	C00966	main
R01217	RP00221	C00143	C00440	main
R01218	RP00002	C00003	C00004	cofac
R01218	RP00568	C00143	C00445	main
R01220	RP00001	C00005	C00006	cofac
R01220	RP00568	C00143	C00445	main
R01221	RP00002	C00003	C00004	cofac
R01221	RP00061	C00101	C00143	main
R01221	RP05764	C00014	C00037	leave
R01221	RP05769	C00011	C00037	leave
R01224	RP00001	C00005	C00006	cofac
R01224	RP00221	C00143	C00440	main
R01225	RP00061	C00101	C00143	main
R01225	RP01368	C00133	C02115	main
R01225	RP06490	C00143	C02115	trans
R01226	RP00061	C00101	C00143	main
R01226	RP00566	C00141	C00966	main
R01226	RP06492	C00143	C00966	trans
R01227	RP00570	C00144	C00387	main
R01227	RP05676	C00001	C00009	leave
R01228	RP00003	C00002	C00008	main
R01228	RP00570	C00144	C00387	main
R01228	RP06494	C00002	C00144	trans
R01229	RP00665	C00013	C00119	leave
R01229	RP01369	C00144	C00242	main
R01229	RP01370	C00119	C00144	main
R01230	RP00008	C00002	C00020	ligase
R01230	RP00009	C00002	C00013	ligase
R01230	RP00573	C00144	C00655	main
R01230	RP05868	C00014	C00144	leave
R01231	RP00008	C00002	C00020	ligase
R01231	RP00009	C00002	C00013	ligase
R01231	RP00024	C00025	C00064	main
R01231	RP00573	C00144	C00655	main
R01231	RP05695	C00001	C00025	leave
R01231	RP06495	C00064	C00144	trans
R01231	RP06496	C00020	C00655	trans
R01232	RP00462	C00044	C01261	main
R01232	RP01371	C00144	C01261	main
R01232	RP05771	C00001	C00144	leave
R01233	RP00313	C00103	C00394	main
R01233	RP01372	C00144	C00394	main
R01233	RP05813	C00001	C00103	leave
R01234	RP01373	C00144	C00942	main
R01234	RP05771	C00001	C00144	leave
R01235	RP00004	C00019	C00021	main
R01236	RP00016	C00053	C00054	main
R01236	RP01374	C00145	C02885	main
R01236	RP06498	C00053	C02885	trans
R01237	RP01375	C00145	C02085	main
R01238	RP01377	C00146	C00156	main
R01238	RP05754	C00011	C00156	leave
R01239	RP00004	C00019	C00021	main
R01239	RP01378	C00146	C01403	main
R01239	RP06499	C00019	C01403	trans
R01240	RP00012	C00015	C00029	main
R01240	RP01379	C00146	C03097	main
R01240	RP06500	C00029	C03097	trans
R01241	RP01380	C00033	C00548	main
R01241	RP01381	C00146	C00548	main
R01241	RP05678	C00001	C00033	leave
R01242	RP00016	C00053	C00054	main
R01242	RP01382	C00850	C15584	main
R01242	RP06501	C00053	C00850	trans
R01243	RP01382	C00850	C15584	main
R01243	RP05685	C00001	C00059	leave
R01243	RP06502	C00059	C00850	leave
R01244	RP01384	C00147	C00262	main
R01244	RP06503	C00001	C00262	leave
R01244	RP06504	C00014	C00147	leave
R01245	RP00596	C00147	C00212	main
R01245	RP01385	C00121	C00212	main
R01245	RP05700	C00001	C00121	leave
R01246	RP00002	C00003	C00004	cofac
R01246	RP00597	C00148	C03564	main
R01248	RP00002	C00003	C00004	cofac
R01248	RP00228	C00148	C03912	main
R01249	RP00001	C00005	C00006	cofac
R01249	RP00597	C00148	C03564	main
R01251	RP00001	C00005	C00006	cofac
R01251	RP00228	C00148	C03912	main
R01252	RP00015	C00026	C00042	cofac
R01252	RP01386	C00148	C01157	main
R01252	RP05677	C00011	C00026	leave
R01252	RP05690	C00007	C00042	leave
R01253	RP00228	C00148	C03912	main
R01255	RP01387	C00148	C00763	main
R01256	RP00003	C00002	C00008	ligase
R01256	RP00010	C00002	C00009	ligase
R01256	RP00378	C00149	C04348	main
R01256	RP01388	C00010	C04348	main
R01257	RP00018	C00016	C01352	cofac
R01257	RP00079	C00036	C00149	main
R01258	RP00002	C00003	C00004	cofac
R01258	RP00102	C00151	C00161	main
R01258	RP05715	C00001	C00161	leave
R01258	RP05969	C00014	C00151	leave
R01259	RP00006	C00007	C00027	cofac
R01259	RP00102	C00151	C00161	main
R01259	RP05715	C00001	C00161	leave
R01259	RP05969	C00014	C00151	leave
R01260	RP00001	C00005	C00006	cofac
R01260	RP00013	C00001	C00007	leave
R01260	RP01389	C00151	C05710	main
R01261	RP00021	C00022	C00041	main
R01261	RP00102	C00151	C00161	main
R01261	RP05972	C00022	C00161	trans
R01261	RP06508	C00041	C00151	trans
R01262	RP00431	C00051	C01419	main
R01262	RP00611	C00151	C03740	main
R01262	RP06509	C00051	C03740	trans
R01263	RP01390	C00060	C02850	main
R01263	RP01391	C00151	C02850	main
R01263	RP05681	C00001	C00060	leave
R01264	RP00006	C00007	C00027	cofac
R01264	RP01392	C00151	C03148	main
R01264	RP05693	C00001	C00067	leave
R01264	RP06510	C00067	C03148	trans
R01265	RP01393	C00151	C00405	main
R01266	RP01394	C00140	C04540	main
R01266	RP01395	C00152	C04540	main
R01266	RP05765	C00001	C00140	leave
R01267	RP01396	C00152	C02512	main
R01268	RP01397	C00153	C00253	main
R01268	RP05979	C00001	C00253	leave
R01268	RP06512	C00014	C00153	leave
R01269	RP00004	C00019	C00021	main
R01269	RP01398	C00153	C02918	main
R01269	RP06513	C00019	C02918	trans
R01270	RP00627	C00153	C00455	main
R01270	RP01399	C00117	C00455	main
R01270	RP05723	C00001	C00117	leave
R01271	RP00627	C00153	C00455	main
R01271	RP00665	C00013	C00119	leave
R01271	RP01400	C00119	C00455	main
R01273	RP00631	C00153	C03150	main
R01273	RP01401	C00121	C03150	main
R01273	RP05700	C00001	C00121	leave
R01274	RP00039	C00010	C00154	main
R01274	RP00237	C00154	C00249	main
R01274	RP05717	C00001	C00249	leave
R01277	RP00002	C00003	C00004	cofac
R01277	RP00039	C00010	C00154	main
R01277	RP01403	C00154	C00517	main
R01278	RP00001	C00005	C00006	cofac
R01278	RP00147	C00154	C05272	main
R01279	RP00018	C00016	C01352	cofac
R01279	RP00147	C00154	C05272	main
R01280	RP00008	C00002	C00020	ligase
R01280	RP00009	C00002	C00013	ligase
R01280	RP00039	C00010	C00154	main
R01280	RP00237	C00154	C00249	main
R01281	RP00039	C00010	C00154	main
R01281	RP01404	C00065	C02934	main
R01281	RP05983	C00011	C00065	leave
R01281	RP06514	C00154	C02934	trans
R01282	RP00147	C00154	C05272	main
R01283	RP01405	C00109	C00155	main
R01283	RP01406	C00155	C00283	main
R01283	RP05720	C00001	C00109	leave
R01285	RP00642	C00155	C00542	main
R01285	RP01407	C00022	C00542	main
R01285	RP06515	C00014	C00542	leave
R01285	RP10324	C00001	C00022	leave
R01286	RP00644	C00155	C02291	main
R01286	RP01408	C00022	C02291	main
R01286	RP10324	C00001	C00022	leave
R01286	RP10326	C00014	C02291	leave
R01287	RP00143	C00033	C01077	main
R01287	RP00647	C00155	C01077	main
R01287	RP01406	C00155	C00283	leave
R01288	RP00132	C00042	C01118	main
R01288	RP01406	C00155	C00283	leave
R01288	RP01409	C00155	C01118	main
R01289	RP00642	C00155	C00542	main
R01289	RP01410	C00065	C00542	main
R01289	RP05699	C00001	C00065	leave
R01290	RP00644	C00155	C02291	main
R01290	RP01411	C00065	C02291	main
R01290	RP05699	C00001	C00065	leave
R01291	RP01413	C00155	C03539	main
R01292	RP00025	C00051	C00127	cofac
R01292	RP01414	C00155	C01817	main
R01293	RP00002	C00003	C00004	cofac
R01293	RP00202	C00156	C00633	main
R01293	RP05739	C00001	C00156	leave
R01294	RP00001	C00005	C00006	cofac
R01294	RP00202	C00156	C00633	main
R01294	RP05739	C00001	C00156	leave
