# RPairs file created from KEGG LIGAND version 49.0 reaction file
# REACTION_ID	RPAIR_ID	LEFT_CPD_ID	RIGHT_CPD_ID	LINK_TYPE
R00097	RP00002	C00003	C00004	cofac
R00097	RP00617	C00541	C00992	main
R00099	RP00002	C00003	C00004	cofac
R00099	RP03480	C00541	C00853	main
R00100	RP00002	C00003	C00004	cofac
R00101	RP00002	C00003	C00004	cofac
R00102	RP00082	C00003	C00153	main
R00102	RP03485	C00003	C00301	main
R00102	RP05960	C00001	C00301	leave
R00103	RP00641	C00003	C00455	main
R00103	RP03498	C00003	C00020	main
R00103	RP05688	C00001	C00020	leave
R00104	RP00003	C00002	C00008	main
R00104	RP00645	C00003	C00006	main
R00104	RP07620	C00002	C00006	trans
R00105	RP00003	C00002	C00008	main
R00105	RP03500	C00004	C00005	main
R00105	RP07628	C00002	C00005	trans
R00106	RP00001	C00005	C00006	cofac
R00106	RP02741	C00923	C00924	main
R00107	RP00001	C00005	C00006	cofac
R00107	RP00617	C00541	C00992	main
R00108	RP00001	C00005	C00006	cofac
R00109	RP00001	C00005	C00006	cofac
R00111	RP00001	C00005	C00006	cofac
R00111	RP03609	C00327	C05933	main
R00111	RP05964	C00007	C00327	leave
R00111	RP07630	C00533	C05933	leave
R00112	RP00001	C00005	C00006	main
R00112	RP00002	C00003	C00004	cofac
R00113	RP00001	C00005	C00006	main
R00113	RP00130	C00001	C00027	leave
R00114	RP00001	C00005	C00006	cofac
R00114	RP00014	C00025	C00026	trans
R00114	RP00024	C00025	C00064	main
R00114	RP06393	C00025	C00064	trans
R00115	RP00001	C00005	C00006	cofac
R00115	RP00025	C00051	C00127	main
R00118	RP00645	C00003	C00006	main
R00118	RP03619	C00006	C00009	main
R00118	RP05676	C00001	C00009	leave
R00119	RP03626	C00006	C00153	main
R00119	RP03632	C00006	C03246	main
R00119	RP07639	C00001	C03246	leave
R00120	RP00006	C00007	C00027	cofac
R00120	RP00025	C00051	C00127	main
R00122	RP00056	C00008	C00020	main
R00122	RP00658	C00008	C00009	main
R00122	RP05676	C00001	C00009	leave
R00123	RP03639	C00008	C00104	main
R00123	RP05976	C00001	C00104	leave
R00123	RP07653	C00008	C00014	leave
R00124	RP00003	C00002	C00008	main
R00124	RP07658	C00002	C00002	trans
R00125	RP03640	C00008	C01260	main
R00125	RP07705	C00008	C01260	trans
R00126	RP00220	C00002	C01260	main
R00126	RP00658	C00008	C00009	main
R00126	RP07705	C00008	C01260	trans
R00127	RP00003	C00002	C00008	main
R00127	RP00056	C00008	C00020	main
R00127	RP12254	C00002	C00008	trans
R00128	RP03654	C00002	C03483	main
R00128	RP05676	C00001	C00009	leave
R00128	RP07715	C00009	C03483	leave
R00129	RP00003	C00002	C00008	ligase
R00129	RP00010	C00002	C00009	ligase
R00129	RP03674	C00004	C04856	main
R00130	RP00003	C00002	C00008	main
R00130	RP03722	C00010	C00882	main
R00130	RP07719	C00002	C00010	trans
R00131	RP05682	C00001	C00011	leave
R00131	RP07735	C00011	C00086	leave
R00131	RP07747	C00014	C00086	leave
R00132	RP05995	C00001	C01353	leave
R00132	RP07752	C00011	C01353	leave
R00134	RP00001	C00005	C00006	cofac
R00134	RP03735	C00011	C00058	main
R00136	RP00003	C00002	C00008	main
R00136	RP03815	C00002	C00536	main
R00136	RP03818	C00013	C00536	leave
R00137	RP00009	C00002	C00013	leave
R00137	RP00641	C00003	C00455	main
R00137	RP07836	C00002	C00003	trans
R00138	RP03818	C00013	C00536	main
R00138	RP05676	C00001	C00009	leave
R00139	RP00003	C00002	C00008	main
R00139	RP03819	C11038	C11039	main
R00140	RP00003	C00002	C00008	main
R00140	RP03820	C03997	C11038	main
R00140	RP07871	C00002	C11038	trans
R00141	RP00003	C00002	C00008	main
R00141	RP07885	C00014	C02058	leave
R00141	RP07889	C00002	C02058	trans
R00143	RP00002	C00003	C00004	cofac
R00143	RP05744	C00014	C00192	leave
R00143	RP05811	C00001	C00192	leave
R00144	RP00002	C00003	C00004	cofac
R00145	RP00002	C00003	C00004	cofac
R00145	RP00068	C00161	C05167	main
R00145	RP05724	C00014	C05167	leave
R00146	RP00001	C00005	C00006	cofac
R00146	RP00068	C00161	C05167	main
R00146	RP05724	C00014	C05167	leave
R00147	RP00001	C00005	C00006	cofac
R00148	RP00013	C00001	C00007	leave
R00148	RP05744	C00014	C00192	leave
R00148	RP07901	C00007	C00192	leave
R00149	RP00003	C00002	C00008	ligase
R00149	RP00010	C00002	C00009	ligase
R00149	RP03826	C00002	C00169	trans
